venue,num_papers
Organization Science,935
Artificial Intelligence Review,935
Neural Processing Letters,935
Combinatorica,934
computer supported collaborative learning,934
Optimization Letters,933
Journal of Software,933
IEEE Journal of Selected Topics in Signal Processing,930
International Journal of Parallel Programming,930
ieee visualization,927
ACM Transactions on Mathematical Software,925
Simulation,919
intelligent tutoring systems,919
Integration,916
"international colloquium on automata, languages and programming",914
Computer Standards & Interfaces,914
ubiquitous intelligence and computing,911
Autonomous Robots,908
Frontiers in Computational Neuroscience,908
Applied Soft Computing,908
Journal of Chemical Information and Computer Sciences,904
Advances in Computational Mathematics,902
document analysis systems,902
international conference on service oriented computing,900
symposium on reliable distributed systems,899
Biomedical Signal Processing and Control,896
australasian computer-human interaction conference,893
International Journal of Human-computer Interaction,891
international performance computing and communications conference,889
international conference on web engineering,887
embedded and real-time computing systems and applications,885
acs/ieee international conference on computer systems and applications,884
artificial intelligence in education,883
electronic government,881
cyberworlds,879
Photonic Network Communications,878
arXiv: Optimization and Control,878
Journal of Networks,873
symposium on theoretical aspects of computer science,872
Journal of Robotic Systems,871
IEEE Transactions on Evolutionary Computation,870
IEEE Wireless Communications Letters,870
advanced visual interfaces,869
Applied Artificial Intelligence,867
modeling analysis and simulation of wireless and mobile systems,865
International Journal of Imaging Systems and Technology,865
Management Information Systems Quarterly,864
international conference on functional programming,864
parallel and distributed computing: applications and technologies,861
arXiv: Discrete Mathematics,859
international workshop on quality of service,859
Archive for Mathematical Logic,859
international conference on parallel architectures and compilation techniques,856
Journal of Systems Science & Complexity,852
information processing in sensor networks,852
acm conference on hypertext,849
"modeling, analysis, and simulation on computer and telecommunication systems",849
arXiv: Computer Science and Game Theory,847
the european symposium on artificial neural networks,847
arXiv: Databases,846
grid and cooperative computing,844
conference of the centre for advanced studies on collaborative research,842
Ai Magazine,842
Ai & Society,841
international colloquium on automata languages and programming,840
Journal of Artificial Intelligence Research,831
international conference on e-business and e-government,830
International Journal of Neural Systems,828
ACM Transactions on Design Automation of Electronic Systems,827
Interacting with Computers,824
conference on computability in europe,824
The Electronic Library,824
robot soccer world cup,818
arXiv: Robotics,817
model driven engineering languages and systems,817
international conference on e-business engineering,816
IEEE MultiMedia,816
computer aided verification,815
international conference on embedded networked sensor systems,814
parallel problem solving from nature,814
ACM Transactions in Embedded Computing Systems,812
field programmable logic and applications,812
Journal of Complexity,808
computing and combinatorics conference,803
international conference on semantic computing,802
International Journal on Artificial Intelligence Tools,799
IEEE Transactions on Speech and Audio Processing,799
International Journal of Algebra and Computation,798
conference on scientific computing,796
real-time systems symposium,795
Operating Systems Review,794
collaboration technologies and systems,792
graph drawing,791
arXiv: Combinatorics,791
international symposium on object/component/service-oriented real-time distributed computing,790
signal-image technology and internet-based systems,786
electronic and mechanical engineering and information technology,786
Computer Applications in Engineering Education,785
International Journal of Software Engineering and Knowledge Engineering,784
consumer communications and networking conference,784
nordic conference on human-computer interaction,784
Computational Geometry: Theory and Applications,782
affective computing and intelligent interaction,780
text retrieval conference,779
international conference on computers in education,779
computer based medical systems,778
Information Systems Frontiers,777
statistical and scientific database management,777
international conference on artificial intelligence and soft computing,776
Artificial Life,776
international conference on autonomic computing,775
conference on recommender systems,775
international conference on human-computer interaction,774
Information Systems Research,773
Quantum Information & Computation,771
Journal of Algorithms,768
integrating technology into computer science education,768
cross language evaluation forum,767
web age information management,767
ACM Transactions on Programming Languages and Systems,765
ACM Computing Surveys,765
international joint conference on neural network,763
Technology Analysis & Strategic Management,760
international database engineering and applications symposium,759
acm symposium on parallel algorithms and architectures,758
international conference on weblogs and social media,758
design and diagnostics of electronic circuits and systems,758
IEEE Pervasive Computing,758
"International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems",757
International Journal of Information Management,756
virtual reality software and technology,754
intelligent networking and collaborative systems,753
"Applicable Algebra in Engineering, Communication and Computing",752
IEEE Transactions on Engineering Management,752
international syposium on methodologies for intelligent systems,750
computational learning theory,750
computer science logic,749
international conference on digital information management,748
Multimedia Systems,748
Computerized Medical Imaging and Graphics,747
International Journal of Mathematics and Mathematical Sciences,747
Business Process Management Journal,746
IEEE Systems Journal,746
Online Information Review,746
arXiv: Information Retrieval,745
european conference on information systems,744
designing interactive systems,744
field programmable custom computing machines,743
ACM Transactions on Database Systems,743
Informatica (lithuanian Academy of Sciences),742
european conference on artificial life,741
Journal of Automated Reasoning,740
"Combinatorics, Probability & Computing",739
business process management,738
"software engineering, artificial intelligence, networking and parallel/distributed computing",737
business information systems,737
medical image computing and computer-assisted intervention,736
reconfigurable computing and fpgas,736
Computer Speech & Language,735
Optimization Methods & Software,731
pacific rim international conference on artificial intelligence,730
Journal of Cheminformatics,730
International Journal of Technology Management,727
text speech and dialogue,724
Experimental Mathematics,724
tools and algorithms for construction and analysis of systems,722
high-performance computer architecture,721
Finite Fields and Their Applications,721
international symposium on chinese spoken language processing,720
conference on information technology education,720
Pattern Analysis and Applications,715
canadian conference on computer and robot vision,715
asia-pacific services computing conference,715
Bell Labs Technical Journal,714
intelligent information systems,713
networked computing and advanced information management,710
Ibm Systems Journal,710
conference on object oriented programming systems languages and applications,709
Journal of Zhejiang University Science C,708
intelligent systems in molecular biology,707
New Media & Society,705
iberian conference on pattern recognition and image analysis,704
international conference on algorithms and architectures for parallel processing,704
computational intelligence in robotics and automation,702
Technometrics,702
Production Engineering,701
mobile ad hoc networking and computing,699
computer science and information engineering,699
International Journal of Game Theory,699
european conference on research and advanced technology for digital libraries,698
international conference on engineering of complex computer systems,696
software engineering and advanced applications,695
Mathematical Social Sciences,695
